familia,n,pct,top,bridge,hollow,n_facetas,dE_medio,dE_dp,dE_min,dE_max
BEEF-vdW_-0.23VSHE,3,0.051194539249146756,33.33333333333333,33.33333333333333,33.33333333333333,1,0.2670347774643839,0.24656356008229974,0.12467297429975588,0.5517418528761482
BEEF-vdW_-0.26VSHE,5,0.08532423208191127,20.0,40.0,40.0,1,0.4004784981472767,0.1986282641605184,0.23327680935472017,0.7454756897132029
BEEF-vdW_-0.42VSHE,13,0.22184300341296928,15.384615384615385,46.15384615384615,38.46153846153847,3,0.29503748004544134,0.19672975680461086,0.047536316866171546,0.7260304339652066
BEEF-vdW_-0.51VSHE,3,0.051194539249146756,33.33333333333333,33.33333333333333,33.33333333333333,1,0.20035531924077077,0.27818574108879945,-0.01582879465422593,0.5142036111355992
BEEF-vdW_-0.70VSHE,3,0.051194539249146756,33.33333333333333,33.33333333333333,33.33333333333333,1,0.24452542903842792,0.22772860025458205,0.10508281790680485,0.507319606920646
BEEF-vdW_-0.73VSHE,14,0.23890784982935154,21.428571428571427,42.857142857142854,35.714285714285715,3,0.3003706435088783,0.19348356420337592,0.034682951103604864,0.6891374421975343
BEEF-vdW_-0.89VSHE,8,0.13651877133105803,12.5,50.0,37.5,3,0.216510863106123,0.17110950862973368,0.030428655132709537,0.5274073914988548
BEEF-vdW_0.11VSHE,3,0.051194539249146756,33.33333333333333,33.33333333333333,33.33333333333333,1,0.2073204360640375,0.2921749188437707,-0.01905470434576273,0.5371457339497283
BEEF-vdW_0.27VSHE,3,0.051194539249146756,33.33333333333333,33.33333333333333,33.33333333333333,1,0.21158226050950665,0.29520957771583195,-0.01684670454415027,0.544917373554199
Bimetálicas (BEEF-vdW),5803,99.02730375426621,27.106668964328794,18.766155436843015,54.127175598828195,7,-0.10958922441830049,0.6162356867606349,-1.6632282185555312,1.8882343897430758
PBE+D3,2,0.034129692832764506,0.0,0.0,100.0,2,-0.6114599450000355,0.03618638044608381,-0.6370475800000577,-0.5858723100000134
