sid,stagea,schnet,etr_emb,etr_baseline,mean_abs_err,n_models_gt_0.5eV,y_true
UmVhY3Rpb246NDEzMQ==,1.76864492893219,4.730962347984314,1.4261865866774073,1.6157084908566826,2.3853755886126486,4,-1.35433828830719
UmVhY3Rpb246MzU3MzA0,1.767602014541626,1.3089303493499755,1.7521368926325036,1.3587192269910373,1.5468471208787855,4,-1.602611780166626
UmVhY3Rpb246MzUzMzc5,1.395033359527588,0.5653092384338378,1.2656411280451962,1.468936999405042,1.1737301813529162,4,1.259108066558838
UmVhY3Rpb246MzU1OTA1,1.579548716545105,0.577412486076355,0.4028822855930776,1.306121151254454,0.9664911598672479,3,1.576924204826355
UmVhY3Rpb246MzU4Mjk3,0.5874963819980621,0.6479211866855621,0.620996486939645,0.6362696907254932,0.6231709365871906,4,0.36979618668556213
UmVhY3Rpb246MzQ5NzAz,0.3762348234653473,0.3246357023715973,0.4388978739036247,0.5937487981910967,0.4333792994829165,1,-0.4645771086215973
UmVhY3Rpb246MzUwNzAy,0.061697185039520264,0.3303365111351013,0.11122585814290992,0.9232917216417089,0.3566378189898101,1,0.4237203001976013
UmVhY3Rpb246MzQyMTM0,0.2421290636062622,0.2845118761062622,0.2703098740568385,0.5798708788185831,0.34420542314698654,1,1.2070704698562622
UmVhY3Rpb246MzU0OTcz,0.2755344271659851,0.24587455987930298,0.15033634561424453,0.6332718973819942,0.3262543075103817,1,0.5798313021659851
UmVhY3Rpb246MzUyNjUy,0.16914172172546388,0.3129893779754639,0.26673365258922177,0.4850863906295677,0.3084877857299293,0,1.1571300029754639
UmVhY3Rpb246MzUyMjcx,0.2404162645339966,0.30499145984649656,0.2652930783883979,0.39907890787107364,0.30244492765999115,0,-0.3600207567214966
UmVhY3Rpb246MzU5NDMy,0.23986971378326416,0.3622818231582642,0.4438615920503313,0.1540054655237152,0.30000464862889376,0,-0.7462173700332642
UmVhY3Rpb246MzUzMTk5,0.10225226879119872,0.11050422191619873,0.28354174008282523,0.7020323687912916,0.2995826498953786,1,0.5648010969161987
UmVhY3Rpb246MzU3NjUw,0.43979729413986207,0.26069573163986204,0.35340522303556404,0.12800536328999623,0.2954759030263211,0,-0.8481957316398621
UmVhY3Rpb246MzU4NjE1,0.14822609424591066,0.18147804737091064,0.17795443325924376,0.6601878394273024,0.2919616035758419,1,-0.42430031299591064
